43824	7	20010101	20051231	86400
Time_interval	Precip_mm.d	Temp_C	RH_1	Wind_m.s	RN_w.m2	Pres_pa
0	0	-8.89	0.8527	4.01	0	70506.0625
0.0416666666666667	3.3072	-9.8	0.849	3.98	0	70603.5
0.0833333333333333	0	-10.72	0.841	3.96	0	70700.2812
0.125	3.66	-11.64	0.8273	3.94	0	70797.0625
0.166666666666667	2.1744	-11.78	0.7797	3.99	0	70771.9688
0.208333333333333	0	-11.91	0.7304	4.03	0	70746.8672
0.25	5.0304	-12.05	0.6805	4.08	0	70721.7812
0.291666666666667	0	-11.45	0.659	3.97	0	70734.8125
0.333333333333333	0	-10.86	0.6387	3.85	0	70747.8516
0.375	0	-10.26	0.6186	3.74	0	70760.25
0.416666666666667	2.172	-10.62	0.636	3.75	0	70692.1562
0.458333333333333	0	-10.99	0.6545	3.75	0	70623.4375
0.5	0	-11.35	0.6729	3.76	0	70554.7109
0.541666666666667	2.4744	-10.83	0.6988	3.75	0	70624.1406
0.583333333333333	0	-10.32	0.7223	3.73	0	70693.5625
0.625	0	-9.8	0.7425	3.72	66.912	70763.6094
0.666666666666667	0	-8.39	0.7501	5.12	187.232	70756.2422
0.708333333333333	2.5272	-6.99	0.7495	6.53	281.055	70749.25
0.75	0	-5.58	0.7415	7.94	383.215	70742.6406
0.791666666666667	0	-5.29	0.7633	8.11	408.767	70650.3906
0.833333333333333	2.892	-5.01	0.7844	8.29	392.319	70558.7891
0.875	0	-4.72	0.8036	8.47	222.992	70466.5312
0.916666666666667	3.7488	-5.43	0.8254	7.61	157.312	70605.3516
0.958333333333333	0	-6.13	0.8468	6.75	72.328	70744.5078
1	0	-6.84	0.8688	5.89	0	70882.7734
1.04166666666667	4.2624	-7.72	0.8769	4.76	0	70904.2969
1.08333333333333	0	-8.6	0.8822	3.63	0	70925.1562
1.125	2.5296	-9.48	0.8844	2.5	0	70945.9922
1.16666666666667	4.26	-10.88	0.8935	2.22	0	70940.5078
1.20833333333333	0	-12.29	0.8947	1.94	0	70934.3672
1.25	0	-13.69	0.8838	1.66	0	70928.2266
1.29166666666667	2.5272	-14.23	0.873	1.42	0	70981.3672
1.33333333333333	0	-14.78	0.8601	1.18	0	71035.1406
1.375	4.26	-15.32	0.8436	0.94	0	71088.2734
1.41666666666667	0	-15.58	0.8354	1.1	0	71145.2266
1.45833333333333	0	-15.85	0.827	1.27	0	71202.8281
1.5	0	-16.11	0.8172	1.43	0	71259.7969
1.54166666666667	0	-15.74	0.8076	0.95	0	71282.2422
1.58333333333333	0	-15.38	0.7985	0.48	0	71305.2969
1.625	0	-15.01	0.7886	0.01	68.688	71327.7031
1.66666666666667	0.6792	-12.7	0.77	0.47	192.736	71364.8906
1.70833333333333	0	-10.38	0.7368	0.94	289.575	71402.4922
1.75	0	-8.06	0.6954	1.4	410.59	71439.8594
1.79166666666667	0	-7.26	0.6961	1.98	438.281	71458.5078
1.83333333333333	0	-6.45	0.6939	2.55	421.021	71477.1406
1.875	0.6936	-5.65	0.6904	3.13	339.856	71496.4062
1.91666666666667	0.6936	-7.32	0.6843	3	240.432	71507.5234
1.95833333333333	0	-9	0.6655	2.87	111.68	71518.9297
2	0	-10.67	0.6289	2.73	0	71530.6172
2.04166666666667	2.0064	-10.58	0.5836	2.69	0	71628.0391
2.08333333333333	0	-10.49	0.5389	2.64	0	71726.0938
2.125	0	-10.39	0.4943	2.6	0	71823.5
2.16666666666667	0	-10.09	0.4553	2.96	0	71741.7578
2.20833333333333	1.1688	-9.8	0.4183	3.32	0	71660.0078
2.25	1.1688	-9.5	0.3824	3.68	0	71577.6328
2.29166666666667	0.6936	-8.6	0.3579	3.9	0	71676.5625
2.33333333333333	0	-7.69	0.3348	4.12	0	71774.8516
2.375	0	-6.79	0.3136	4.34	0	71873.1328
2.41666666666667	0	-6.74	0.3298	4.29	0	71807.9688
2.45833333333333	0.696	-6.68	0.3457	4.25	0	71742.8125
2.5	0	-6.63	0.3616	4.2	0	71677.6484
2.54166666666667	0	-6.75	0.3908	3.87	0	71697.8828
2.58333333333333	0	-6.87	0.4205	3.54	0	71718.1172
2.625	0	-6.99	0.4508	3.21	66.752	71738.3516
2.66666666666667	0	-5.63	0.492	3.43	187.696	71755.5625
2.70833333333333	0	-4.27	0.5213	3.64	282.177	71772.4219
2.75	0	-2.91	0.5409	3.86	397.07	71789.6172
2.79166666666667	0	-2.29	0.565	3.92	424.135	71796.8594
2.83333333333333	0.204	-1.68	0.5864	3.98	407.801	71803.4531
2.875	0.5256	-1.07	0.6049	4.04	331.024	71810.7109
2.91666666666667	0	-2.5	0.6059	3.78	234.864	71769.2109
2.95833333333333	0	-3.94	0.601	3.51	110.224	71727.5703
3	0	-5.38	0.588	3.24	0	71685.7422
3.04166666666667	1.2192	-5.86	0.5931	2.89	0	71676.9766
3.08333333333333	0	-6.35	0.5985	2.54	0	71668.8594
3.125	0.528	-6.84	0.6036	2.19	0	71660.0781
3.16666666666667	0.516	-6.76	0.5839	2.32	0	71655.6172
3.20833333333333	0	-6.67	0.564	2.45	0	71651.1484
3.25	0	-6.58	0.5445	2.58	0	71647.3281
3.29166666666667	0.888	-6.49	0.5252	2.74	0	71600.9766
3.33333333333333	0	-6.39	0.5058	2.91	0	71555.2734
3.375	0.888	-6.29	0.4868	3.07	0	71509.5391
3.41666666666667	0	-5.91	0.4775	3.24	0	71443.7422
3.45833333333333	0	-5.52	0.4682	3.4	0	71377.9062
3.5	0	-5.14	0.4594	3.57	0	71311.4531
3.54166666666667	1.1856	-4.74	0.443	3.68	0	71295.8438
3.58333333333333	0	-4.35	0.4275	3.79	0	71279.6016
3.625	0	-3.95	0.4123	3.9	67.664	71263.3516
3.66666666666667	0	-2.37	0.4291	4.46	190.464	71297.2422
3.70833333333333	2.7432	-0.79	0.4378	5.02	286.516	71330.2734
3.75	0	0.79	0.4401	5.58	405.696	71363.7266
3.79166666666667	0	1.06	0.4539	5.31	433.617	71367.8125
3.83333333333333	0	1.33	0.4671	5.04	417.286	71372.5078
3.875	0	1.6	0.4796	4.77	338.256	71376.5703
3.91666666666667	0	-0.18	0.4855	4.38	240.704	71283.1016
3.95833333333333	0	-1.97	0.4855	3.99	114.144	71190.1016
4	0	-3.75	0.4767	3.61	0	71097.5469
4.04166666666667	0	-4.07	0.4513	3.65	0	71213.8281
4.08333333333333	0	-4.38	0.4241	3.69	0	71330.7188
4.125	0	-4.69	0.3951	3.73	0	71446.9531
4.16666666666667	0	-5.05	0.3969	3.65	0	71405.6406
4.20833333333333	0	-5.41	0.3985	3.57	0	71364.3281
4.25	4.5888	-5.76	0.3995	3.49	0	71323.0234
4.29166666666667	0	-5.62	0.3977	3.52	0	71336.0469
4.33333333333333	0	-5.48	0.396	3.55	0	71349.0781
4.375	0	-5.34	0.3942	3.59	0	71362.1016
4.41666666666667	1.9968	-5.18	0.4007	4.15	0	71296.2266
